in_swcid	in_voltage	in_time	out_swcid	out_voltage	out_time
20499	0.11764341282037724	1.2280000000000002	13018	0.023965687591427743	4.2280000000000015
26720	0.1354728208140726	1.2280000000000002	13018	0.020610234082109116	5.027999999999999
27558	0.29367321657662604	1.1280000000000001	13018	0.020499351948813124	5.127999999999998
22038	0.35029007856911454	1.2280000000000002	13018	0.023231075487108368	4.428000000000001
1083	0.20217301085068512	1.3280000000000003	13018	0.019081328870365528	5.627999999999997
26663	0.24356219169100013	1.2280000000000002	13018	0.02052115249881157	5.127999999999998
12935	0.06410717987581148	1.2280000000000002	13018	0.026163160320347968	3.5280000000000022
6135	0.06348807360975643	1.4280000000000004	13018	0.020068191108785178	5.227999999999998
4937	0.08310437746926831	1.2280000000000002	13018	0.019969174534144464	5.227999999999998
22149	0.34379416379268923	1.2280000000000002	13018	0.023242968538066806	4.428000000000001
20901	0.3016835008947053	1.1280000000000001	13018	0.023902666446186348	4.128000000000002
3808	0.46436304607448625	1.1280000000000001	13018	0.019257894259717592	5.527999999999997
19447	0.21483231490681007	1.1280000000000001	13018	0.02339829266864591	4.328000000000001
13601	0.3812750930325523	1.4280000000000004	13018	0.025457194133418824	3.8280000000000025
4709	0.22769099163401127	1.2280000000000002	13018	0.019707586190869836	5.327999999999998
21	0.4756191539628498	1.2280000000000002	13018	0.0193646521799376	5.427999999999997
28298	0.26454152300391487	1.1280000000000001	13018	0.020074137297888775	5.227999999999998
25367	0.3253482498541984	1.1280000000000001	13018	0.021025358375113507	4.827999999999999
27167	0.04570259842085381	1.8280000000000007	13018	0.02069856951963025	5.027999999999999
21063	0.28624280615371767	1.1280000000000001	13018	0.023858236082754385	4.2280000000000015
6820	0.3074590430050204	1.1280000000000001	13018	0.020309709912735483	5.127999999999998
10829	0.025700629276064414	3.6280000000000023	13018	0.02481162906828675	3.8280000000000025
22025	0.2721299412177261	1.3280000000000003	13018	0.02327239285404341	4.428000000000001
16606	0.200561005069346	1.1280000000000001	13018	0.025780031030967043	3.6280000000000023
27616	0.599656755175885	1.1280000000000001	13018	0.020316894030847132	5.127999999999998
14557	0.1261388002173233	1.2280000000000002	13018	0.025782728347790367	3.6280000000000023
18409	0.25047897875613867	1.2280000000000002	13018	0.023028609157866184	4.5280000000000005
14667	0.12932899101089515	1.1280000000000001	13018	0.02591034611780721	3.6280000000000023
26830	0.1377603932199397	1.2280000000000002	13018	0.020604171123522367	5.027999999999999
23513	0.05802329021084486	1.5280000000000005	13018	0.024227696028366892	4.128000000000002
4249	0.2237313764651249	1.3280000000000003	13018	0.019540721772508478	5.427999999999997
18796	0.2472340187092365	1.2280000000000002	13018	0.023134116835751527	4.428000000000001
11662	0.18785049669654158	1.1280000000000001	13018	0.024367004158991876	4.028000000000002
751	0.17518444135153804	1.2280000000000002	13018	0.019955109364668818	5.227999999999998
26326	0.13379965365904173	1.2280000000000002	13018	0.020625695203136837	5.027999999999999
17343	0.08979698721821633	1.2280000000000002	13018	0.02456180026181484	4.028000000000002
8775	0.3789288042580099	1.1280000000000001	13018	0.020170920713183892	5.127999999999998
21645	0.04709250048916231	1.8280000000000007	13018	0.02400318688624917	4.2280000000000015
8457	0.06748613263697742	1.4280000000000004	13018	0.020287521155085753	5.127999999999998
